DSSTox_RID	DSSTox_CID	DSSTox_Generic_SID	DSSTox_FileID	STRUCTURE_Formula	STRUCTURE_MolecularWeight	STRUCTURE_ChemicalType	STRUCTURE_TestedForm_DefinedOrganic	STRUCTURE_Shown	TestSubstance_ChemicalName	TestSubstance_CASRN	TestSubstance_Description	ChemicalNote	STRUCTURE_ChemicalName_IUPAC	STRUCTURE_SMILES	STRUCTURE_Parent_SMILES	STRUCTURE_InChI	STRUCTURE_InChIKey	StudyType	Endpoint	Species	ChemicalReplicateCount	ChemClass_MRDD_grouping	TherapeuticCategory	Dose_MRDD_mg	Dose_MRDD_mmol	LOGINV_MRDD_mmol	ActivityScore_FDAMDD	ActivityCategory_MRDD_mmol	ActivityCategory_MCASE_mg	Note_FDAMDD			
22550	21	20021	11_FDAMDD_v3b	C5H9NO3S	163.1949	defined organic	parent	tested chemical	Acetylcysteine	616-91-1	single chemical compound	stereochem	N-acetyl-L-cysteine	CC(=O)N[C@@H](CS)C(=O)O	CC(=O)N[C@@H](CS)C(=O)O	"InChI=1/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1/f/h6,8H"	PWKSKIMOESPYIA-JVBVHTJODB	Clinical Reports 	Maximum Recommended Daily Dose	human	1		mucolytic; corneal vulnerary	10	0.061276425	1.212706583	25	Low-Moderate	Low	form of drug administered not known			
22551	2551	22551	12_FDAMDD_v3b	C43H66O14	806.97574	defined organic	parent	tested chemical	Acetyldigitoxin	1111-39-3	single chemical compound	stereochem; tautomers	"(3beta,5beta)-3-{[3-O-acetyl-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide"	CC(=O)O[C@H]1C[C@@H](O[C@H](C)[C@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@@H]8[C@@H](C)O[C@@H](O[C@@H]5C[C@H]6CC[C@H]4[C@@]7(O)CC[C@H](C=3COC(=O)C=3)[C@@]7(C)CC[C@@H]4[C@@]6(C)CC5)C[C@@H]8O	CC(=O)O[C@H]1C[C@@H](O[C@H](C)[C@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@@H]8[C@@H](C)O[C@@H](O[C@@H]5C[C@H]6CC[C@H]4[C@@]7(O)CC[C@H](C=3COC(=O)C=3)[C@@]7(C)CC[C@@H]4[C@@]6(C)CC5)C[C@@H]8O	"InChI=1/C43H66O14/c1-21-38(48)33(54-24(4)44)19-37(51-21)57-40-23(3)53-36(18-32(40)46)56-39-22(2)52-35(17-31(39)45)55-27-9-12-41(5)26(16-27)7-8-30-29(41)10-13-42(6)28(11-14-43(30,42)49)25-15-34(47)50-20-25/h15,21-23,26-33,35-40,45-46,48-49H,7-14,16-20H2,1-6H3/t21-,22-,23-,26-,27+,28-,29+,30-,31+,32+,33+,35+,36+,37+,38-,39-,40-,41+,42-,43+/m1/s1"	HPMZBILYSWLILX-UMDUKNJSBP	Clinical Reports 	Maximum Recommended Daily Dose	human	1		cardiotonic	0.00333	4.12652E-06	5.384416245	71	High	High	form of drug administered not known			
22552	2552	22552	13_FDAMDD_v3b	C19H22N2OS	326.45578	defined organic	parent	tested chemical	Acetylpromazine	61-00-7	single chemical compound		1-{10-[3-(dimethylamino)propyl]-10H-phenothiazin-2-yl}ethanone	C1=CC=C2C(=C1)N(CCCN(C)C)C3=C(S2)C=CC(C(C)=O)=C3	C1=CC=C2C(=C1)N(CCCN(C)C)C3=C(S2)C=CC(C(C)=O)=C3	"InChI=1/C19H22N2OS/c1-14(22)15-9-10-19-17(13-15)21(12-6-11-20(2)3)16-7-4-5-8-18(16)23-19/h4-5,7-10,13H,6,11-12H2,1-3H3"	NOSIYYJFMPDDSA-UHFFFAOYAJ	Clinical Reports 	Maximum Recommended Daily Dose	human	1		tranquilizer	0.15	0.00045948	3.337733103	49	High-Moderate	High	form of drug administered not known			
22553	2553	22553	14_FDAMDD_v3b	C21H26O3	326.42934	defined organic	parent	tested chemical	Acitretin	55079-83-9	single chemical compound	stereochem	"(2E,4E,6E,8E)-3,7-dimethyl-9-[2,3,6-trimethyl-4-(methyloxy)phenyl]nona-2,4,6,8-tetraenoic acid"	C1(C)=C(OC)C=C(C)C(C=CC(C)=CC=CC(C)=CC(O)=O)=C1C	C1(C)=C(OC)C=C(C)C(C=CC(C)=CC=CC(C)=CC(O)=O)=C1C	"InChI=1/C21H26O3/c1-14(8-7-9-15(2)12-21(22)23)10-11-19-16(3)13-20(24-6)18(5)17(19)4/h7-13H,1-6H3,(H,22,23)/b9-7+,11-10+,14-8+,15-12+/f/h22H"	IHUNBGSDBOWDMA-CDPNKHFKDR	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antipsoriatic	1.25	0.003829313	2.416879174	38	Moderate	High	form of drug administered not known			
22554	2554	22554	15_FDAMDD_v3b	C42H53NO15	811.86792	defined organic	parent	tested chemical	Aclacinomycin A	57576-44-0	single chemical compound	stereochem	"methyl (1R,2R,4S)-2-ethyl-2,5,7-trihydroxy-6,11-dioxo-4-{[2,3,6-trideoxy-4-O-{2,6-dideoxy-4-O-[(2R,6S)-6-methyl-5-oxotetrahydro-2H-pyran-2-yl]-alpha-L-lyxo-hexopyranosyl}-3-(dimethylamino)-alpha-L-lyxo-hexopyranosyl]oxy}-1,2,3,4,6,11-hexahydrotetracene-1-carboxylate"	COC(=O)[C@@H]4c3cc2C(=O)c1cccc(O)c1C(=O)c2c(O)c3[C@H](C[C@]4(O)CC)O[C@@H]7O[C@@H](C)[C@@H](O[C@H]6C[C@H](O)[C@H](O[C@H]5CCC(=O)[C@H](C)O5)[C@H](C)O6)[C@H](C7)N(C)C	COC(=O)[C@@H]4c3cc2C(=O)c1cccc(O)c1C(=O)c2c(O)c3[C@H](C[C@]4(O)CC)O[C@@H]7O[C@@H](C)[C@@H](O[C@H]6C[C@H](O)[C@H](O[C@H]5CCC(=O)[C@H](C)O5)[C@H](C)O6)[C@H](C7)N(C)C	"InChI=1/C42H53NO15/c1-8-42(51)17-28(33-22(35(42)41(50)52-7)14-23-34(38(33)49)37(48)32-21(36(23)47)10-9-11-26(32)45)56-30-15-24(43(5)6)39(19(3)54-30)58-31-16-27(46)40(20(4)55-31)57-29-13-12-25(44)18(2)53-29/h9-11,14,18-20,24,27-31,35,39-40,45-46,49,51H,8,12-13,15-17H2,1-7H3/t18-,19-,20-,24-,27-,28-,29-,30-,31-,35-,39+,40+,42+/m0/s1"	USZYSDMBJDPRIF-SVEJIMAYBG	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antineoplastic	2.7	0.003325664	2.478121617	39	Moderate	Moderate	form of drug administered not known			
22555	2555	22555	16_FDAMDD_v3b	C22H24N2O2	348.43816	defined organic	parent	tested chemical	Acrivastine	87848-99-5	single chemical compound	stereochem	(2E)-3-{6-[(1E)-1-(4-methylphenyl)-3-pyrrolidin-1-ylprop-1-en-1-yl]pyridin-2-yl}prop-2-enoic acid	C(=CCN1CCCC1)(C2=CC=C(C)C=C2)C3=CC=CC(C=CC(O)=O)=N3	C(=CCN1CCCC1)(C2=CC=C(C)C=C2)C3=CC=CC(C=CC(O)=O)=N3	"InChI=1/C22H24N2O2/c1-17-7-9-18(10-8-17)20(13-16-24-14-2-3-15-24)21-6-4-5-19(23-21)11-12-22(25)26/h4-13H,2-3,14-16H2,1H3,(H,25,26)/b12-11+,20-13+/f/h25H"	PWACSDKDOHSSQD-NTOVBENVDD	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antihistaminic	0.533	0.001529683	2.815398503	43	Moderate	High	form of drug administered not known			
22556	2556	22556	17_FDAMDD_v3b	C8H11N5O3	225.20464	defined organic	parent	tested chemical	Acyclovir	59277-89-3	single chemical compound		"2-amino-9-{[(2-hydroxyethyl)oxy]methyl}-1,9-dihydro-6H-purin-6-one"	N1C(N)=NC2=C(C1=O)N=CN2COCCO	N1C(N)=NC2=C(C1=O)N=CN2COCCO	"InChI=1/C8H11N5O3/c9-8-11-6-5(7(15)12-8)10-3-13(6)4-16-2-1-14/h3,14H,1-2,4H2,(H3,9,11,12,15)/f/h12H,9H2"	MKUXAQIIEYXACX-TVNKGWMHCG	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiviral	13.3	0.059057398	1.228725693	25	Low-Moderate	Low	form of drug administered not known			
22557	2557	22557	18_FDAMDD_v3b	C5H5N5	135.1267	defined organic	parent	tested chemical	Adenine	73-24-5	single chemical compound		9H-purin-6-amine	NC1=NC=NC2=C1N=CN2	NC1=NC=NC2=C1N=CN2	"InChI=1/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)/f/h9H,6H2"	GFFGJBXGBJISGV-KYDDBTJZCX	Clinical Reports 	Maximum Recommended Daily Dose	human	1		research	15	0.111006929	0.954649912	22	Low	Low	form of drug administered not known			
22558	2558	22558	19_FDAMDD_v3b	C10H13N5O4	267.24132	defined organic	parent	tested chemical	Adenosine	58-61-7	single chemical compound	stereochem	adenosine	NC1=NC=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O	NC1=NC=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O	"InChI=1/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1/f/h11H2"	OIRDTQYFTABQOQ-ONGDMJDYDQ	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiarrhythmic	2	0.007483873	2.125873613	35	Moderate	High	form of drug administered not known			
22559	2559	22559	20_FDAMDD_v3b	C10H16N5O13P3	507.181023	defined organic	parent	tested chemical	Adenosine triphosphate	56-65-5	single chemical compound	stereochem	adenosine 5'-(tetrahydrogen triphosphate)	OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]3O[C@@H](n2cnc1c(N)ncnc12)[C@H](O)[C@@H]3O	OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]3O[C@@H](n2cnc1c(N)ncnc12)[C@H](O)[C@@H]3O	"InChI=1/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1/f/h18-19,21,23H,11H2"	ZKHQWZAMYRWXGA-FJYXAIENDD	Clinical Reports 	Maximum Recommended Daily Dose	human	1		coenzyme	0.2	0.000394337	3.404133	49	High-Moderate	High	form of drug administered not known			
22560	2560	22560	21_FDAMDD_v3b	C10H14N5O7P	347.221221	defined organic	parent	tested chemical	Adenosine-5-phosphate	61-19-8	single chemical compound	stereochem	5'-adenylic acid	OP(O)(=O)OC[C@H]3O[C@@H](n2cnc1c(N)ncnc12)[C@@H](O)[C@@H]3O	OP(O)(=O)OC[C@H]3O[C@@H](n2cnc1c(N)ncnc12)[C@@H](O)[C@@H]3O	"InChI=1/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1/f/h18-19H,11H2"	UDMBCSSLTHHNCD-WLZLVAIBDR	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiarrhythmic	0.333	0.000959043	3.018162026	45	High-Moderate	High	form of drug administered not known			
22561	2561	22561	22_FDAMDD_v3b	C20H25NO2	311.418	defined organic	parent	tested chemical	Adiphenine	64-95-9	single chemical compound		2-(diethylamino)ethyl diphenylacetate	C2=CC=CC(C(C(=O)OCCN(CC)CC)C1=CC=CC=C1)=C2	C2=CC=CC(C(C(=O)OCCN(CC)CC)C1=CC=CC=C1)=C2	"InChI=1/C20H25NO2/c1-3-21(4-2)15-16-23-20(22)19(17-11-7-5-8-12-17)18-13-9-6-10-14-18/h5-14,19H,3-4,15-16H2,1-2H3"	JGOAIQNSOGZNBX-UHFFFAOYAN	Clinical Reports 	Maximum Recommended Daily Dose	human	1		anticholinergic	7.5	0.024083386	1.618282448	29	Low-Moderate	Low	form of drug administered not known			
22562	2562	22562	23_FDAMDD_v3b	C16H14FN3O	283.3003	defined organic	parent	tested chemical	Afloqualone	56287-74-2	single chemical compound		6-amino-2-(fluoromethyl)-3-(2-methylphenyl)quinazolin-4(3H)-one	C1(N)=CC=C3C(=C1)C(=O)N(C2=CC=CC=C2C)C(CF)=N3	C1(N)=CC=C3C(=C1)C(=O)N(C2=CC=CC=C2C)C(CF)=N3	"InChI=1/C16H14FN3O/c1-10-4-2-3-5-14(10)20-15(9-17)19-13-7-6-11(18)8-12(13)16(20)21/h2-8H,9,18H2,1H3"	VDOSWXIDETXFET-UHFFFAOYAZ	Clinical Reports 	Maximum Recommended Daily Dose	human	1		skeletal muscle relaxant	1	0.003529823	2.452247034	39	Moderate	High	form of drug administered not known			
22563	2563	22563	24_FDAMDD_v3b	C12H15N3O2S	265.3314	defined organic	parent	tested chemical	Albendazole	54965-21-8	single chemical compound		methyl [5-(propylthio)-1H-benzimidazol-2-yl]carbamate	COC(=O)NC=1Nc2ccc(cc2N=1)SCCC	COC(=O)NC=1Nc2ccc(cc2N=1)SCCC	"InChI=1/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)/f/h13,15H"	HXHWSAZORRCQMX-YENFCIRVCU	Clinical Reports 	Maximum Recommended Daily Dose	human	1		anthelmintic	13.3	0.050125993	1.299937008	26	Low-Moderate	Low	form of drug administered not known			
22564	1255	21255	25_FDAMDD_v3b	C13H21NO3	239.3138	defined organic	parent	tested chemical	Albuterol	18559-94-9	single chemical compound	"racemic mixture of (1R,S); structure shown without stereochem"	"4-{2-[(1,1-dimethylethyl)amino]-1-hydroxyethyl}-2-(hydroxymethyl)phenol"	OC(C1=CC=C(C(=C1)CO)O)CNC(C)(C)C	OC(C1=CC=C(C(=C1)CO)O)CNC(C)(C)C	"InChI=1/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3"	NDAUXUAQIAJITI-UHFFFAOYAW	Clinical Reports 	Maximum Recommended Daily Dose	human	1		bronchodilator; tocolytic	0.533	0.002227201	2.652240534	41	Moderate	High	form of drug administered not known			
22565	2565	22565	26_FDAMDD_v3b	C10H16N2OS	212.3118	defined organic	parent	tested chemical	Albutoin	830-89-7	single chemical compound		5-(2-methylpropyl)-3-prop-2-en-1-yl-2-thioxoimidazolidin-4-one	C=CCN1C(=O)C(CC(C)C)NC1=S	C=CCN1C(=O)C(CC(C)C)NC1=S	"InChI=1/C10H16N2OS/c1-4-5-12-9(13)8(6-7(2)3)11-10(12)14/h4,7-8H,1,5-6H2,2-3H3,(H,11,14)/f/h11H"	RATGSRSDPNECNO-WXRBYKJCCI	Clinical Reports 	Maximum Recommended Daily Dose	human	1		anticonvulsant	40	0.188402152	0.724914141	19	Low	Low	form of drug administered not known			
22566	38	20038	27_FDAMDD_v3b	C11H11ClO3	226.6562	defined organic	parent	tested chemical	Alclofenac	22131-79-9	single chemical compound		[3-chloro-4-(prop-2-en-1-yloxy)phenyl]acetic acid	C1(OCC=C)=CC=C(CC(=O)O)C=C1Cl	C1(OCC=C)=CC=C(CC(=O)O)C=C1Cl	"InChI=1/C11H11ClO3/c1-2-5-15-10-4-3-8(6-9(10)12)7-11(13)14/h2-4,6H,1,5,7H2,(H,13,14)/f/h13H"	ARHWPKZXBHOEEE-NDKGDYFDCL	Clinical Reports 	Maximum Recommended Daily Dose	human	1		analgesic; antipyretic; anti inflammatory	1.67	0.007367987	2.132651132	35	Moderate	High	form of drug administered not known			
22567	2419	22419	28_FDAMDD_v3b	C21H28O5	360.444	defined organic	parent	tested chemical	Aldosterone	52-39-1	single chemical compound	stereochem; tautomers	"(11beta)-11,21-dihydroxy-3,20-dioxopregn-4-en-18-al"	[C@]12([C@]([C@@]3(CCC4[C@@]([C@@]([C@H](C1)O)3[H])(CCC(=O)C=4)C)[H])(CC[C@H]2C(=O)CO)[H])C=O	[C@]12([C@]([C@@]3(CCC4[C@@]([C@@]([C@H](C1)O)3[H])(CCC(=O)C=4)C)[H])(CC[C@H]2C(=O)CO)[H])C=O	"InChI=1/C21H28O5/c1-20-7-6-13(24)8-12(20)2-3-14-15-4-5-16(18(26)10-22)21(15,11-23)9-17(25)19(14)20/h8,11,14-17,19,22,25H,2-7,9-10H2,1H3/t14-,15-,16+,17-,19+,20-,21+/m0/s1"	PQSUYGKTWSAVDQ-ZVIOFETBBV	Clinical Reports 	Maximum Recommended Daily Dose	human	1		mineralcorticoid	0.00833	2.31104E-05	4.636192799	63	High	High	form of drug administered not known			
22568	2568	22568	29_FDAMDD_v3b	C4H13NO7P2	249.096042	defined organic	parent	tested chemical	Alendronic Acid	66376-36-1	single chemical compound		"(4-amino-1-hydroxybutane-1,1-diyl)bis(phosphonic acid)"	OC(P(O)(O)=O)(CCCN)P(O)(O)=O	OC(P(O)(O)=O)(CCCN)P(O)(O)=O	"InChI=1/C4H13NO7P2/c5-3-1-2-4(6,13(7,8)9)14(10,11)12/h6H,1-3,5H2,(H2,7,8,9)(H2,10,11,12)/f/h7-8,10-11H"	OGSPWJRAVKPPFI-WMXLOSIUCK	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiosteoporotic	0.667	0.002677682	2.572240993	40	Moderate	High	form of drug administered not known			
22569	2569	22569	30_FDAMDD_v3b	C27H44O2	400.63706	defined organic	parent	tested chemical	Alfacalcidol	41294-56-8	single chemical compound	stereochem	"(1S,3R,5E,7Z)-9,10-secocholesta-5,7,10-triene-1,3-diol"	O[C@@H]3C\C(=C\C=C2/CCC[C@@]1(C)[C@H]2CC[C@@H]1[C@H](C)CCCC(C)C)C(=C)[C@@H](O)C3	O[C@@H]3C\C(=C\C=C2/CCC[C@@]1(C)[C@H]2CC[C@@H]1[C@H](C)CCCC(C)C)C(=C)[C@@H](O)C3	"InChI=1/C27H44O2/c1-18(2)8-6-9-19(3)24-13-14-25-21(10-7-15-27(24,25)5)11-12-22-16-23(28)17-26(29)20(22)4/h11-12,18-19,23-26,28-29H,4,6-10,13-17H2,1-3,5H3/b21-11-,22-12+/t19-,23-,24-,25+,26+,27-/m1/s1"	OFHCOWSQAMBJIW-GITLSTMWBJ	Clinical Reports 	Maximum Recommended Daily Dose	human	1		vitamin D source	0.003	7.48807E-06	5.125629865	69	High	High	form of drug administered not known			
